display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2016 Datsun GO+ 1.2 T MPV,"I am interested in your car on Mobil123.com - 2016 Datsun GO+ 1.2 T MPV Surat lengkap , dijamin tdk bekas tabrak , banjir, turun mesin (Rp 65.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-kemayoran/10677179.",https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-kemayoran/10677179,Datsun,GO+,T,72500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2016,DKI Jakarta,Kemayoran
2017 Datsun GO 1.2 T Hatchback,"I am interested in your car on Mobil123.com - 2017 Datsun GO 1,2 T Hatchback Dp 15 jt (Rp 88.000.000). https://www.mobil123.com/dijual/datsun-go-t-jawa-timur-pasuruan/10669837.",https://www.mobil123.com/dijual/datsun-go-t-jawa-timur-pasuruan/10669837,Datsun,GO,T,162000,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2017,Jawa Timur,Pasuruan
2018 Datsun Cross 1.2 Wagon,I am interested in your car on Mobil123.com - 2018 Datsun Cross 1.2 Wagon (Rp 99.000.000). https://www.mobil123.com/dijual/datsun-cross-yogyakarta-sleman/10498697.,https://www.mobil123.com/dijual/datsun-cross-yogyakarta-sleman/10498697,Datsun,Cross,,97500,Automatic,76,1198 cc,5,7,Pertamax,Silver,2018,Yogyakarta,Sleman
2014 Datsun GO+ 1.2 T MPV,I am interested in your car on Mobil123.com - 2014 Datsun GO+ 1.2 T MPV MT (Rp 79.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-jawa-tengah-purwokerto-timur/10660451.,https://www.mobil123.com/dijual/datsun-go%2B-t-jawa-tengah-purwokerto-timur/10660451,Datsun,GO+,T,52500,Manual,67,1198 cc,5,7,Pertamax,Silver,2014,Jawa Tengah,Purwokerto Timur
2018 Datsun GO+ 1.2 T MPV,I am interested in your car on Mobil123.com - 2018 Datsun GO+ 1.2 T MPV / RT/ CDV3000 (Rp 85.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-gajah-mada/10609666.,https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-gajah-mada/10609666,Datsun,GO+,T,52500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2018,DKI Jakarta,Gajah Mada
2016 Datsun GO+ 1.2 T-OPTION MPV,"I am interested in your car on Mobil123.com - 2016 Datsun GO+ 1,2 T-OPTION Tdp 3 JT (Rp 70.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-cilandak/10580068.",https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-cilandak/10580068,Datsun,GO+,T-OPTION,110000,Manual,67,1198 cc,5,7,Pertamax,Putih,2016,DKI Jakarta,Cilandak
2018 Datsun GO 1.2 T Hatchback,"I am interested in your car on Mobil123.com - 2018 Datsun GO 1,2 T Hatchback (Rp 82.000.000). https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebon-jeruk/10619503.",https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebon-jeruk/10619503,Datsun,GO,T,65000,Automatic,77,1198 cc,5,5,Pertamax,Merah,2018,DKI Jakarta,Kebon Jeruk
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A Hatchback /tyo (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-barat-cibitung/10617529.",https://www.mobil123.com/dijual/datsun-go-a-jawa-barat-cibitung/10617529,Datsun,GO,A,4281,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Barat,Cibitung
2018 Datsun GO+ 1.2 T-OPTION MPV,I am interested in your car on Mobil123.com - 2018 Datsun GO+ 1.2 T-OPTION MPV (Rp 91.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-barat-gede-bage/10616315?carsome=true.,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-barat-gede-bage/10616315?carsome=true,Datsun,GO+,T-OPTION,52500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2018,Jawa Barat,Gede Bage
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A manual Hatchback/ tyo (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-dki-jakarta-grogol/10615934.",https://www.mobil123.com/dijual/datsun-go-a-dki-jakarta-grogol/10615934,Datsun,GO,A,4300,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,DKI Jakarta,Grogol
2018 Datsun GO+ 1.2 T MPV,I am interested in your car on Mobil123.com - 2018 Datsun GO+ 1.2 T MPV / Carbolnas / CDV3000 / WRD (Rp 91.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-jawa-barat-bekasi-timur/10612794.,https://www.mobil123.com/dijual/datsun-go%2B-t-jawa-barat-bekasi-timur/10612794,Datsun,GO+,T,57500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2018,Jawa Barat,Bekasi Timur
2020 Datsun GO 1.2 A Hatchback,I am interested in your car on Mobil123.com - 2020 Datsun GO 1.2 A Hatchback - Jual Mobil Bekas Jember - Barang Antik Km Rendah (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-sumbersari/10561902.,https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-sumbersari/10561902,Datsun,GO,A,2500,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Sumbersari
2020 Datsun GO 1.2 A Hatchback,I am interested in your car on Mobil123.com - 2020 Datsun GO 1.2 A Hatchback - Jual Mobil Bekas Kediri - Barang Antik Km Rendah (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-kediri/10561869.,https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-kediri/10561869,Datsun,GO,A,2500,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Kediri
2020 Datsun GO 1.2 A Hatchback,I am interested in your car on Mobil123.com - 2020 Datsun GO 1.2 A Hatchback - Jual Mobil Bekas Surabaya - Barang Antik Km Rendah (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-surabaya/10561816.,https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-surabaya/10561816,Datsun,GO,A,2500,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Surabaya
2020 Datsun GO 1.2 A Hatchback,I am interested in your car on Mobil123.com - 2020 Datsun GO 1.2 A Hatchback - Jual Mobil Bekas Malang - Barang Antik Km Rendah (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-malang/10561848.,https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-malang/10561848,Datsun,GO,A,2500,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Malang
2016 Datsun GO+ 1.2 T-STYLE MPV,I am interested in your car on Mobil123.com - 2016 Datsun GO+ 1.2 T-STYLE MPV TDP 5 Juta (Rp 70.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-style-dki-jakarta-batu-tulis/10696751.,https://www.mobil123.com/dijual/datsun-go%2B-t-style-dki-jakarta-batu-tulis/10696751,Datsun,GO+,T-STYLE,122500,Manual,67,1198 cc,5,7,Pertamax,Putih,2016,DKI Jakarta,Batu Tulis
2018 Datsun Cross 1.2 Wagon,I am interested in your car on Mobil123.com - 2018 Datsun Cross 1.2 Wagon Matic KM 38Rb SUPER ANTIK (Rp 120.000.000). https://www.mobil123.com/dijual/datsun-cross-jawa-timur-wonokromo/10695319.,https://www.mobil123.com/dijual/datsun-cross-jawa-timur-wonokromo/10695319,Datsun,Cross,,32500,Automatic,76,1198 cc,5,7,Pertamax,Kuning,2018,Jawa Timur,Wonokromo
2016 Datsun GO 1.2 T Hatchback,I am interested in your car on Mobil123.com - Datsun GO  (Rp 85.000.000). https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebayoran-lama/10692694.,https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebayoran-lama/10692694,Datsun,GO,T,26977,Manual,67,1198 cc,5,5,Pertamax,Hijau,2016,DKI Jakarta,Kebayoran Lama
2020 Datsun GO 1.2 A Hatchback,I am interested in your car on Mobil123.com - 2020 Datsun GO 1.2 A Hatchback (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-blimbing/10531920?carsome=true.,https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-blimbing/10531920?carsome=true,Datsun,GO,A,2500,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Blimbing
2014 Datsun GO+ 1.2 T-OPTION MPV,I am interested in your car on Mobil123.com - 2014 Datsun GO+ 1.2 T-OPTION MPV KM50RB ASLI RECORD JOK 3 BARIS 7 SEATER FULL ORISINIL ELECTRIC MIRROR VELG RACING DIJAMIN BAGUS JARANG ADA SIAP PAKAI (Rp 72.500.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-halim-perdana-kusuma/10546185.,https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-halim-perdana-kusuma/10546185,Datsun,GO+,T-OPTION,52500,Manual,67,1198 cc,5,7,Pertamax,Silver,2014,DKI Jakarta,Halim Perdana Kusuma
2017 Datsun GO+ 1.2 T-OPTION MPV,I am interested in your car on Mobil123.com - 2017 Datsun GO+ 1.2 T-OPTION MPV (Rp 95.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-gubeng/10689764.,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-gubeng/10689764,Datsun,GO+,T-OPTION,47500,Manual,67,1198 cc,5,7,Pertamax,Putih,2017,Jawa Timur,Gubeng
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A Hatchback Mt Istimewa Antik (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-kaliwates/10573085.",https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-kaliwates/10573085,Datsun,GO,A,4000,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Kaliwates
2018 Datsun Cross 1.2 Wagon,I am interested in your car on Mobil123.com - 2018 Datsun Cross 1.2 Wagon KM RENDA 35RIBU *TDP 20JUTA* (Rp 120.000.000). https://www.mobil123.com/dijual/datsun-cross-jawa-timur-citraland-citra-raya/10687298.,https://www.mobil123.com/dijual/datsun-cross-jawa-timur-citraland-citra-raya/10687298,Datsun,Cross,,32500,Automatic,76,1198 cc,5,7,Pertamax,Kuning,2018,Jawa Timur,Citraland Citra Raya
2017 Datsun GO+ 1.2 T MPV,"I am interested in your car on Mobil123.com - 2017 Datsun GO+ 1,2 T MPV (Rp 75.900.000). https://www.mobil123.com/dijual/datsun-go%2B-t-banten-tangerang-kota/10258608.",https://www.mobil123.com/dijual/datsun-go%2B-t-banten-tangerang-kota/10258608,Datsun,GO+,T,106000,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2017,Banten,Tangerang Kota
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A Hatchback Mt Low Km Bisa Kredit (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-surabaya/10573078.",https://www.mobil123.com/dijual/datsun-go-a-jawa-timur-surabaya/10573078,Datsun,GO,A,4000,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Timur,Surabaya
2016 Datsun GO+ 1.2 T MPV,"I am interested in your car on Mobil123.com - 2016 Datsun GO+ 1.2 T MPV Surat lengkap , dijamin tdk bekas tabrak , banjir, turun mesin (Rp 65.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-kemayoran/10677179.",https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-kemayoran/10677179,Datsun,GO+,T,72500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2016,DKI Jakarta,Kemayoran
2017 Datsun GO 1.2 T Hatchback,"I am interested in your car on Mobil123.com - 2017 Datsun GO 1,2 T Hatchback Dp 15 jt (Rp 88.000.000). https://www.mobil123.com/dijual/datsun-go-t-jawa-timur-pasuruan/10669837.",https://www.mobil123.com/dijual/datsun-go-t-jawa-timur-pasuruan/10669837,Datsun,GO,T,162000,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2017,Jawa Timur,Pasuruan
2018 Datsun Cross 1.2 Wagon,I am interested in your car on Mobil123.com - 2018 Datsun Cross 1.2 Wagon (Rp 99.000.000). https://www.mobil123.com/dijual/datsun-cross-yogyakarta-sleman/10498697.,https://www.mobil123.com/dijual/datsun-cross-yogyakarta-sleman/10498697,Datsun,Cross,,97500,Automatic,76,1198 cc,5,7,Pertamax,Silver,2018,Yogyakarta,Sleman
2014 Datsun GO+ 1.2 T MPV,I am interested in your car on Mobil123.com - 2014 Datsun GO+ 1.2 T MPV MT (Rp 79.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-jawa-tengah-purwokerto-timur/10660451.,https://www.mobil123.com/dijual/datsun-go%2B-t-jawa-tengah-purwokerto-timur/10660451,Datsun,GO+,T,52500,Manual,67,1198 cc,5,7,Pertamax,Silver,2014,Jawa Tengah,Purwokerto Timur
2018 Datsun GO+ 1.2 T MPV,I am interested in your car on Mobil123.com - 2018 Datsun GO+ 1.2 T MPV / RT/ CDV3000 (Rp 85.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-gajah-mada/10609666.,https://www.mobil123.com/dijual/datsun-go%2B-t-dki-jakarta-gajah-mada/10609666,Datsun,GO+,T,52500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2018,DKI Jakarta,Gajah Mada
2016 Datsun GO+ 1.2 T-OPTION MPV,"I am interested in your car on Mobil123.com - 2016 Datsun GO+ 1,2 T-OPTION Tdp 3 JT (Rp 70.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-cilandak/10580068.",https://www.mobil123.com/dijual/datsun-go%2B-t-option-dki-jakarta-cilandak/10580068,Datsun,GO+,T-OPTION,110000,Manual,67,1198 cc,5,7,Pertamax,Putih,2016,DKI Jakarta,Cilandak
2018 Datsun GO 1.2 T Hatchback,"I am interested in your car on Mobil123.com - 2018 Datsun GO 1,2 T Hatchback (Rp 82.000.000). https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebon-jeruk/10619503.",https://www.mobil123.com/dijual/datsun-go-t-dki-jakarta-kebon-jeruk/10619503,Datsun,GO,T,65000,Automatic,77,1198 cc,5,5,Pertamax,Merah,2018,DKI Jakarta,Kebon Jeruk
2020 Datsun GO 1.2 A Hatchback,"I am interested in your car on Mobil123.com - 2020 Datsun GO 1,2 A Hatchback /tyo (Rp 105.000.000). https://www.mobil123.com/dijual/datsun-go-a-jawa-barat-cibitung/10617529.",https://www.mobil123.com/dijual/datsun-go-a-jawa-barat-cibitung/10617529,Datsun,GO,A,4281,Manual,67,1198 cc,5,5,Pertamax,Abu-abu,2020,Jawa Barat,Cibitung
2018 Datsun GO+ 1.2 T-OPTION MPV,I am interested in your car on Mobil123.com - 2018 Datsun GO+ 1.2 T-OPTION MPV (Rp 91.000.000). https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-barat-gede-bage/10616315?carsome=true.,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-barat-gede-bage/10616315?carsome=true,Datsun,GO+,T-OPTION,52500,Manual,67,1198 cc,5,7,Pertamax,Abu-abu,2018,Jawa Barat,Gede Bage
